Date,IWO,TLT,QQQ
11/28/2016,149.290329,110.480606,114.386009
11/29/2016,149.1353,110.943581,114.781685
11/30/2016,147.575363,109.146255,113.392021
12/1/2016,145.734406,107.993782,111.433006
12/2/2016,145.879761,108.785156,111.654984
12/5/2016,148.369888,108.666893,112.523499
12/6/2016,149.939499,108.584999,112.793709
12/7/2016,151.063431,109.512772,114.221962
12/8/2016,153.359772,108.221191,114.424622
12/9/2016,153.301666,106.875008,115.322121
12/12/2016,151.673843,107.075134,114.80101
12/13/2016,151.761078,107.457123,116.24855
12/14/2016,150.017014,106.256516,116.007286
12/15/2016,151.208786,106.793167,116.190636
12/16/2016,150.985947,106.547554,115.759941
12/19/2016,151.761078,107.693642,116.234207
12/20/2016,152.642792,107.15699,116.679428
12/21/2016,151.73201,107.629982,116.592331
12/22/2016,150.009399,107.437546,116.263252
12/23/2016,151.244003,107.656387,116.340683
12/27/2016,151.934204,107.309883,116.940773
12/28/2016,150.009399,108.094124,116.03096
12/29/2016,150.31073,108.47715,115.866409
12/30/2016,149.649673,108.641319,114.675896
1/3/2017,150.32045,109.106422,115.701859
1/4/2017,153.061874,109.525909,116.330994
1/5/2017,151.749481,111.240417,116.989182
1/6/2017,151.253754,110.219017,118.015137
1/9/2017,151.166214,111.103592,118.402283
1/10/2017,152.400803,111.030663,118.663612
1/11/2017,152.313309,111.404526,118.983017
1/12/2017,151.652298,111.158356,118.799118
1/13/2017,153.042419,110.629372,119.205627
1/17/2017,150.719055,111.787575,118.847511
1/18/2017,151.282883,110.35582,119.0895
1/19/2017,149.960785,109.598885,119.03141
1/20/2017,150.621826,109.37999,119.292725
1/23/2017,150.038513,110.474319,119.389542
1/24/2017,152.167511,109.717415,120.192886
1/25/2017,153.693756,108.340378,121.40274
1/26/2017,152.779953,108.705139,121.528564
1/27/2017,152.420273,109.097305,121.760895
1/30/2017,150.612106,108.768982,120.812332
1/31/2017,151.88562,109.525909,120.570358
2/1/2017,152.011963,108.848709,121.40274
2/2/2017,151.45787,108.802994,121.296265
2/3/2017,153.722931,108.757332,121.644722
2/6/2017,152.585541,109.415337,121.789917
2/7/2017,152.118881,110.219597,122.235153
2/8/2017,152.25499,111.718422,122.4384
2/9/2017,154.539536,110.42981,122.883636
2/10/2017,155.618561,110.365829,123.290131
2/13/2017,155.764389,110.018532,123.987022
2/14/2017,156.114349,109.223442,124.403229
2/15/2017,157.280899,108.720757,125.138824
2/16/2017,156.687897,109.314819,125.100105
2/17/2017,157.096222,109.963684,125.642113
2/21/2017,158.078079,109.771759,126.261574
2/22/2017,157.300354,109.954575,126.309967
2/23/2017,155.987991,110.283554,125.835693
2/24/2017,156.328232,111.508247,126.077667
2/27/2017,158.165573,110.85022,126.232536
2/28/2017,155.783859,111.261505,125.845367
3/1/2017,158.496048,109.397156,127.219803
3/2/2017,157.242035,109.003372,126.580963
3/3/2017,157.144821,109.287254,126.813286
3/6/2017,156.075485,108.76532,126.53257
3/7/2017,155.045044,108.435677,126.319626
3/8/2017,154.549225,107.849594,126.542274
3/9/2017,154.257599,106.988884,126.639038
3/10/2017,155.268616,107.364334,127.171387
3/13/2017,155.686615,106.686707,127.384331
3/14/2017,154.733917,107.199471,127.074562
3/15/2017,157.2323,108.508911,127.858582
3/16/2017,157.310089,107.959496,127.7715
3/17/2017,157.728104,108.637123,127.726875
3/20/2017,157.611481,109.104118,127.843224
3/21/2017,153.285461,110.010628,125.903465
3/22/2017,153.528503,110.450195,126.756958
3/23/2017,154.160355,110.294487,126.436905
3/24/2017,154.513,110.688232,126.698761
3/27/2017,155.126663,111.191895,126.902428
3/28/2017,155.818329,110.450195,127.678368
3/29/2017,156.490433,111.109474,128.27002
3/30/2017,157.026199,110.212105,128.483398
3/31/2017,157.474319,110.532585,128.396149
4/3/2017,155.759872,111.647484,128.318512
4/4/2017,155.331268,111.041878,128.522141
4/5/2017,153.597351,111.381371,127.998459
4/6/2017,154.814957,111.216209,128.066299
4/7/2017,154.892883,110.766586,127.998459
4/10/2017,155.272797,111.280464,128.046951
4/11/2017,156.276123,112.335739,127.494087
4/12/2017,154.464325,112.950546,126.980042
4/13/2017,153.334366,113.29921,126.475677
4/17/2017,155.029282,112.950546,127.523186
4/18/2017,155.165649,114.427917,127.329208
4/19/2017,156.12027,113.803932,127.532906
4/20/2017,157.980835,113.363449,128.599792
4/21/2017,157.386627,113.363449,128.570679
4/24/2017,159.41275,112.803696,130.122543
4/25/2017,161.0103,111.44561,131.063339
4/26/2017,161.633713,112.060425,130.879074
4/27/2017,162.227936,112.023712,131.664688
4/28/2017,160.445328,112.271492,131.897461
5/1/2017,161.516846,111.338142,133.07106
5/2/2017,160.747299,111.908287,133.294128
5/3/2017,159.685501,111.981827,132.867371
5/4/2017,159.558868,111.430107,132.915863
5/5/2017,160.747299,111.531273,133.400803
5/8/2017,159.63681,110.924355,133.691803
5/9/2017,160.133621,110.915169,134.157349
5/10/2017,161.302551,110.78643,134.234924
5/11/2017,160.425858,110.78643,134.128235
5/12/2017,159.802414,111.623222,134.428925
5/15/2017,161.039536,111.319771,134.855652
5/16/2017,161.331772,111.733566,135.418213
5/17/2017,156.84111,113.361145,131.975037
5/18/2017,157.386627,113.489891,133.129242
5/19/2017,158.000305,113.756538,133.691803
5/22/2017,159.276413,113.443924,134.816864
5/23/2017,159.344574,112.680664,134.952652
5/24/2017,159.919312,113.315178,135.573395
5/25/2017,160.279724,113.351944,136.727615
5/26/2017,160.162842,113.545059,136.970062
5/30/2017,159.071838,114.105988,137.086441
5/31/2017,159.101059,114.391022,137.037979
6/1/2017,162.296127,114.40303,137.571396
6/2/2017,163.708588,115.757591,139.142639
6/5/2017,162.607834,115.038811,139.113556
6/6/2017,162.666306,115.665443,138.56073
6/7/2017,162.734467,115.112579,139.103867
6/8/2017,164.604736,114.808456,139.249359
6/9/2017,163.893661,114.633369,135.76738
6/12/2017,163.494247,114.596497,135.039932
6/13/2017,164.556076,114.614975,136.135956
6/14/2017,163.844955,116.384216,135.544327
6/15/2017,162.900101,116.199921,134.942963
6/16/2017,162.559128,116.430267,134.357483
6/19/2017,164.517105,116.26442,136.604065
6/20/2017,163.202057,117.30574,135.534302
6/21/2017,163.659882,117.54528,136.876373
6/22/2017,164.556076,117.803291,136.837494
6/23/2017,165.890594,117.748016,137.362671
6/26/2017,165.686035,118.190308,136.720795
6/27/2017,163.348145,116.927879,134.240753
6/28/2017,166.16333,116.540886,136.176178
6/29/2017,164.468399,115.564087,133.812881
6/30/2017,164.400208,115.296875,133.861511
7/3/2017,165.033401,114.925636,132.451324
7/5/2017,164.935959,114.953369,133.754532
7/6/2017,162.770493,114.002258,132.548523
7/7/2017,164.840302,113.318939,133.978195
7/10/2017,164.313065,113.485153,134.8535
7/11/2017,165.162476,113.679062,135.232788
7/12/2017,166.636673,114.463974,136.837494
7/13/2017,166.578125,113.743713,137.138992
7/14/2017,167.00769,113.882217,138.218506
7/17/2017,167.095566,114.196182,138.286591
7/18/2017,166.861252,115.19342,139.21051
7/19/2017,168.481949,115.239594,140.027451
7/20/2017,168.569778,115.572021,140.212219
7/21/2017,167.876617,116.061447,140.153885
7/24/2017,168.657639,115.608978,140.795792
7/25/2017,169.497284,114.103828,140.435944
7/26/2017,169.048218,114.288513,140.892975
7/27/2017,167.25177,113.725258,140.007996
7/28/2017,166.792953,114.399323,139.891296
7/31/2017,166.031403,114.537849,139.298035
8/1/2017,166.24617,115.342003,139.618988
8/2/2017,164.254517,115.406784,139.99826
8/3/2017,163.668701,116.60054,139.453644
8/4/2017,164.108047,115.610367,139.706497
8/7/2017,165.025787,115.739922,140.591522
8/8/2017,164.303314,115.323494,140.348404
8/9/2017,163.092697,115.952759,140.16362
8/10/2017,159.773224,116.942947,137.158447
8/11/2017,160.817917,116.998505,138.199051
8/14/2017,163.209839,116.396965,139.978821
8/15/2017,162.038284,115.906487,140.076065
8/16/2017,162.223801,116.332184,140.319199
8/17/2017,159.333878,117.202065,137.450211
8/18/2017,159.187439,117.174294,137.352936
8/21/2017,159.167908,117.461182,137.177856
8/22/2017,161.081528,117.007721,139.268875
8/23/2017,160.524994,117.803589,138.772842
8/24/2017,161.081528,117.368622,138.364426
8/25/2017,160.993622,117.82209,138.072632
8/28/2017,162.321396,117.748055,138.500565
8/29/2017,162.682632,118.127464,139.045197
8/30/2017,163.932327,118.090439,140.679031
8/31/2017,165.933762,118.442101,142.186508
9/1/2017,166.66597,117.536118,141.991974
9/5/2017,165.552994,119.399994,140.717957
9/6/2017,165.67012,118.667419,141.145889
9/7/2017,165.592026,119.882225,141.476547
9/8/2017,165.660355,119.622574,140.251144
9/11/2017,167.017471,118.194496,141.865555
9/12/2017,167.749695,117.573196,142.205948
9/13/2017,167.896149,117.109566,142.400467
9/14/2017,167.788757,117.591766,141.564056
9/15/2017,168.306168,117.638115,142.050323
9/18/2017,169.809723,116.961189,141.864197
9/19/2017,169.555893,116.673714,142.107834
9/20/2017,169.917084,116.757172,141.669235
9/21/2017,169.799957,116.692307,140.801804
